context,question,answer,rag_answer,hallucination_label
"Mammals include the largest animals on the planet, the rorquals and other large whales, as well as some of the most intelligent, such as elephants, primates, including humans, and cetaceans. The basic body type is a four-legged land-borne animal, but some mammals are adapted for life at sea, in the air, in trees, or on two legs. The largest group of mammals, the placentals, have a placenta, which enables feeding the fetus during gestation. Mammals range in size from the 30–40 mm (1.2–1.6 in) bumblebee bat to the 33-meter (108 ft) blue whale.",Which specific mammal is the largest today?,blue whale,"The largest mammal today is the blue whale, which can reach lengths of up to 33 meters (108 feet).",based on the context
"The feminism and female empowerment themes on Beyoncé's second solo album B'Day were inspired by her role in Dreamgirls and by singer Josephine Baker. Beyoncé paid homage to Baker by performing ""Déjà Vu"" at the 2006 Fashion Rocks concert wearing Baker's trademark mini-hula skirt embellished with fake bananas. Beyoncé's third solo album I Am... Sasha Fierce was inspired by Jay Z and especially by Etta James, whose ""boldness"" inspired Beyoncé to explore other musical genres and styles. Her fourth solo album, 4, was inspired by Fela Kuti, 1990s R&B, Earth, Wind & Fire, DeBarge, Lionel Richie, Teena Marie with additional influences by The Jackson 5, New Edition, Adele, Florence and the Machine, and Prince.","Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",Josephine Baker,"Beyoncé honored singer Josephine Baker by performing ""Déjà Vu"" at the 2006 Fashion Rocks concert, wearing Baker's trademark mini-hula skirt embellished with fake bananas.",based on the context
"Nevertheless, it was radar that proved to be critical weapon in the night battles over Britain from this point onward. Dowding had introduced the concept of airborne radar and encouraged its usage. Eventually it would become a success. On the night of 22/23 July 1940, Flying Officer Cyril Ashfield (pilot), Pilot Officer Geoffrey Morris (Observer) and Flight Sergeant Reginald Leyland (Air Intercept radar operator) of the Fighter Interception Unit became the first pilot and crew to intercept and destroy an enemy aircraft using onboard radar to guide them to a visual interception, when their AI night fighter brought down a Do 17 off Sussex. On 19 November 1940 the famous RAF night fighter ace John Cunningham shot down a Ju 88 bomber using airborne radar, just as Dowding had predicted.",What was critical in the night battles over Britain?,radar,Radar proved to be a critical weapon in the night battles over Britain.,based on the context
"A wide array of sports are played in Armenia, the most popular among them being wrestling, weightlifting, judo, association football, chess, and boxing. Armenia's mountainous terrain provides great opportunities for the practice of sports like skiing and climbing. Being a landlocked country, water sports can only be practiced on lakes, notably Lake Sevan. Competitively, Armenia has been successful in chess, weightlifting and wrestling at the international level. Armenia is also an active member of the international sports community, with full membership in the Union of European Football Associations (UEFA) and International Ice Hockey Federation (IIHF). It also hosts the Pan-Armenian Games.",Which lake is most popular for water sports in Armenia?,Lake Sevan,Lake Sevan is the most popular lake for water sports in Armenia.,based on the context
"In the following year, Bell became professor of Vocal Physiology and Elocution at the Boston University School of Oratory. During this period, he alternated between Boston and Brantford, spending summers in his Canadian home. At Boston University, Bell was ""swept up"" by the excitement engendered by the many scientists and inventors residing in the city. He continued his research in sound and endeavored to find a way to transmit musical notes and articulate speech, but although absorbed by his experiments, he found it difficult to devote enough time to experimentation. While days and evenings were occupied by his teaching and private classes, Bell began to stay awake late into the night, running experiment after experiment in rented facilities at his boarding house. Keeping ""night owl"" hours, he worried that his work would be discovered and took great pains to lock up his notebooks and laboratory equipment. Bell had a specially made table where he could place his notes and equipment inside a locking cover. Worse still, his health deteriorated as he suffered severe headaches. Returning to Boston in fall 1873, Bell made a fateful decision to concentrate on his experiments in sound.",What did Bell do late at night?,experiments,"Late at night, Bell ran experiment after experiment in rented facilities at his boarding house. He was absorbed in his research in sound and endeavored to find a way to transmit musical notes and articulate speech. He took great pains to lock up his notebooks and laboratory equipment, using a specially made table with a locking cover to secure his notes and equipment.",based on the context
"Mandolin has also been used in blues music, most notably by Ry Cooder, who performed outstanding covers on his very first recordings, Yank Rachell, Johnny ""Man"" Young, Carl Martin, and Gerry Hundt. Howard Armstrong, who is famous for blues violin, got his start with his father's mandolin and played in string bands similar to the other Tennessee string bands he came into contact with, with band makeup including ""mandolins and fiddles and guitars and banjos. And once in a while they would ease a little ukulele in there and a bass fiddle."" Other blues players from the era's string bands include Willie Black (Whistler And His Jug Band), Dink Brister, Jim Hill, Charles Johnson, Coley Jones (Dallas String Band), Bobby Leecan (Need More Band), Alfred Martin, Charlie McCoy (1909-1950), Al Miller, Matthew Prater, and Herb Quinn.",Who is the most popular blue music mandolinist?,Ry Cooder,"The context mentions several notable mandolinists in blues music, including Ry Cooder, Yank Rachell, Johnny ""Man"" Young, Carl Martin, and Gerry Hundt. Among these, Ry Cooder is particularly well-known for his outstanding covers and contributions to blues music.",based on the context
"Catalan (/ˈkætəlæn/; autonym: català [kətəˈla] or [kataˈla]) is a Romance language named for its origins in Catalonia, in what is northeastern Spain and adjoining parts of France. It is the national and only official language of Andorra, and a co-official language of the Spanish autonomous communities of Catalonia, the Balearic Islands, and Valencia (where the language is known as Valencian, and there exist regional standards). It also has semi-official status in the city of Alghero on the Italian island of Sardinia. It is also spoken with no official recognition in parts of the Spanish autonomous communities of Aragon (La Franja) and Murcia (Carche), and in the historic French region of Roussillon/Northern Catalonia, roughly equivalent to the department of Pyrénées-Orientales.",Where is Catalan the only official language?,Andorra,Catalan is the only official language in Andorra.,based on the context
"Beyoncé Giselle Knowles was born in Houston, Texas, to Celestine Ann ""Tina"" Knowles (née Beyincé), a hairdresser and salon owner, and Mathew Knowles, a Xerox sales manager. Beyoncé's name is a tribute to her mother's maiden name. Beyoncé's younger sister Solange is also a singer and a former member of Destiny's Child. Mathew is African-American, while Tina is of Louisiana Creole descent (with African, Native American, French, Cajun, and distant Irish and Spanish ancestry). Through her mother, Beyoncé is a descendant of Acadian leader Joseph Broussard. She was raised in a Methodist household.",What younger sister of Beyonce also appeared in Destiny's Child?,Solange,"Beyoncé's younger sister, Solange, is also a singer and a former member of Destiny's Child.",based on the context
"The United Nations Charter states that treaties must be registered with the UN to be invoked before it or enforced in its judiciary organ, the International Court of Justice. This was done to prevent the proliferation of secret treaties that occurred in the 19th and 20th century. Section 103 of the Charter also states that its members' obligations under it outweigh any competing obligations under other treaties.",In which centuries did a proliferation of secret treaties occur that led the United Nations Charter to include an obligation to register treaties to be invoked before it?,19th and 20th century,The proliferation of secret treaties that led to the inclusion of the obligation to register treaties in the United Nations Charter occurred in the 19th and 20th centuries.,based on the context
"After over a dozen more subpar seasons, in 1981 the Cubs hired GM Dallas Green from Philadelphia to turn around the franchise. Green had managed the 1980 Phillies to the World Series title. One of his early GM moves brought in a young Phillies minor-league 3rd baseman named Ryne Sandberg, along with Larry Bowa for Iván DeJesús. The 1983 Cubs had finished 71–91 under Lee Elia, who was fired before the season ended by Green. Green continued the culture of change and overhauled the Cubs roster, front-office and coaching staff prior to 1984. Jim Frey was hired to manage the 1984 Cubs, with Don Zimmer coaching 3rd base and Billy Connors serving as pitching coach.",What year did the Cubs hire GM Dallas Green?,1981,The Cubs hired GM Dallas Green in 1981.,based on the context
"The British adopted ""effective ceiling"", meaning the altitude at which a gun could deliver a series of shells against a moving target; this could be constrained by maximum fuse running time as well as the gun's capability. By the late 1930s the British definition was ""that height at which a directly approaching target at 400 mph (=643.6 km/h) can be engaged for 20 seconds before the gun reaches 70 degrees elevation"". However, effective ceiling for heavy AA guns was affected by non-ballistic factors:",What affected the effective ceiling for heavy AA guns?,non-ballistic factors,"The effective ceiling for heavy anti-aircraft (AA) guns was affected by non-ballistic factors, including maximum fuse running time and the gun's capability.",based on the context
